央视,#genre#
辽宁卫视,LNTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000260.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000260?AuthInfo=xxx&userid=
辽宁卫视,LNTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000201.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000201?AuthInfo=xxx&userid=
河北卫视,HEBEI1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000341.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000341?AuthInfo=xxx&userid=
河北卫视,HEBEI1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000197.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000197?AuthInfo=xxx&userid=
广东卫视,GDTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000221.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000221?AuthInfo=xxx&userid=
广东卫视,GDTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000188.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000188?AuthInfo=xxx&userid=
湖北卫视,HUBEI1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000222.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000222?AuthInfo=xxx&userid=
湖北卫视,HUBEI1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000185.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000185?AuthInfo=xxx&userid=
深圳卫视,SZTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000226.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000226?AuthInfo=xxx&userid=
深圳卫视,SZTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000177.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000177?AuthInfo=xxx&userid=
山东卫视,SDTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000261.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000261?AuthInfo=xxx&userid=
山东卫视,SDTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000183.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000183?AuthInfo=xxx&userid=
四川卫视,SCTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000377.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000377?AuthInfo=xxx&userid=
四川卫视,SCTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000203.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000203?AuthInfo=xxx&userid=
江西卫视,JXTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000378.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000378?AuthInfo=xxx&userid=
